level,avg_time_ranked,avg_time_casual,avg_time_total,count
0,4.9703860391327340,74.4535118503918081,79.4238978895245421,53177
1,35.7643317728115891,539.3224980125430616,575.0868297853546506,11321
2,131.7509229633275905,1260.2859340388875215,1392.0368570022151120,16252
3,282.6613747954173486,2295.6952536824877250,2578.3566284779050736,12220
4,449.2203557312252964,3333.9850955204216074,3783.2054512516469038,12144
5,556.8309218013331166,4424.1303040156072183,4980.9612258169403349,12302
6,739.5861401471157569,5564.1007355787843593,6303.6868757259001161,12915
7,910.3889155470249520,6814.7787907869481766,7725.1677063339731286,12504
8,1021.1668905305574211,8071.7234721289456011,9092.8903626595030222,11912
9,1162.6664548471369060,9431.6058038551154416,10594.2722587022523477,14163
10,1362.2653016453382084,10843.0725411334552102,12205.3378427787934186,13675
11,1613.4970993220102048,12363.0496260571748095,13976.5467253791850143,14307
12,1817.0055628954871010,14026.840275363327,15843.845838258814,14381
13,1981.2283767128253462,15754.432320742406,17735.660697455231,13793
14,2160.0216557796080659,17533.097415506958,19693.119071286566,14084
15,2389.0278656424160265,19531.267434854647,21920.295300497063,13278
16,2641.2212911978293831,21475.671454792116,24116.892745989945,12531
17,2812.5669506244313953,23670.990240674882,26483.557191299314,12091
18,2884.1583621576142844,26028.993082172572,28913.151444330186,10697
19,2946.1973251994368841,28792.518770530267,31738.716095729704,8524
20,3184.9231438285759469,30356.554439788092,33541.477583616668,12647
21,4587.7447976878612717,31759.999132947977,36347.743930635838,13840
22,6045.8151418242491657,32799.328281423804,38845.143423248053,14384
23,7317.0409024937326824,34124.980934160179,41442.021836653912,15158
24,9093.6772372677110420,35123.722268028160,44217.399505295871,15767
25,10570.3042983034590252,36206.411186379713,46776.715484683172,16681
26,12321.472163033383,36868.868655411681,49190.340818445064,18303
27,13883.901640231689,38034.730579765063,51918.632219996752,18473
28,15627.130449015222,38760.254623820176,54387.385072835397,18329
29,17346.185414342225,39961.784968049498,57307.970382391723,19718
30,19093.370057072972,41206.943844272320,60300.313901345291,19624
31,20880.192641139436,42588.681184848798,63468.873825988234,19378
32,22402.152560860727,43810.374832663989,66212.527393524716,20169
33,24406.462508724698,45048.960863495862,69455.423372220560,20058
34,26003.906167713186,46577.093933562892,72581.000101276079,19748
35,27966.272039312039,47932.712039312039,75898.984078624079,20350
36,29622.063501454420,49870.400976186955,79492.464477641375,20283
37,31592.310231023102,50893.323532353235,82485.633763376338,19998
38,33592.860074108384,52635.769615562761,86228.629689671144,21590
39,35867.860052935060,54017.335806787031,89885.195859722091,21158
40,37861.720981839591,55702.188804854853,93563.909786694443,22081
41,39890.401215121512,57758.453330333033,97648.854545454545,22220
42,41823.144991869204,60254.820858787852,102077.965850657056,22753
43,44074.643785505250,62177.814942330866,106252.458727836116,23236
44,46739.877824443511,64360.187064258715,111100.064888702226,23810
45,48636.501596119564,66920.494879980100,115556.996476099664,24121
46,51431.416538055398,68816.328364876939,120247.744902932337,24622
47,54012.176644284443,71543.708842326673,125555.885486611116,24722
48,56988.832683586602,73705.701368446177,130694.534052032779,25138
49,59552.940407322292,76593.206632855218,136146.147040177510,25238
50,61691.661803349414,80024.407185159038,141716.068988508452,25497
51,64217.594793213979,83147.098311312642,147364.693104526620,25582
52,67141.672725878202,86480.083294983893,153621.756020862095,26076
53,69402.411780292993,90633.362001741303,160035.773782034296,26417
54,73004.258020112415,92794.074064160899,165798.332084273315,26153
55,75799.866513497990,96310.820486310549,172110.686999808539,26115
56,78436.840094196293,100571.830332725615,179008.670426921908,26328
57,81395.088886379038,104267.843761764927,185662.932648143965,26562
58,84765.515792221352,108200.507513890443,192966.023306111795,26817
59,87859.557742830712,111892.448991674376,199752.006734505088,27025
60,90584.181551869347,116796.905855212567,207381.087407081914,27309
61,94044.071605120449,120665.025270225403,214709.096875345852,27107
62,97810.991420752903,124483.258264921234,222294.249685674137,27042
63,100216.737456842724,130037.525416880923,230254.262873723647,27226
64,102934.956759497338,135146.902256183682,238081.859015681020,27613
65,105902.861886170708,140469.564561767972,246372.426447938680,27919
66,109668.454463285007,145105.345493329477,254773.799956614484,27659
67,113076.521518166090,150037.310986159170,263113.832504325260,27744
68,116658.575905517464,155513.504325663209,272172.080231180673,27857
69,119421.043049811185,161317.511994245639,280738.555044056824,27805
