platform,region,rank,amount,relevant_at
XBOX,ncsa,19,4090,2018-02-12
XBOX,emea,11,6060,2018-02-12
PS4,ncsa,2,2810,2018-02-12
PS4,emea,18,15965,2018-02-12
PC,ncsa,19,1296,2018-02-12
PC,emea,11,9700,2018-02-12
PC,apac,11,2808,2018-02-12
PS4,apac,18,2988,2018-02-12
XBOX,apac,11,1098,2018-02-12
PS4,ncsa,6,7658,2018-02-12
PS4,ncsa,7,9100,2018-02-12
PS4,apac,12,4760,2018-02-12
PS4,apac,10,4371,2018-02-12
PS4,emea,10,20048,2018-02-12
PS4,emea,12,22924,2018-02-12
XBOX,ncsa,17,36284,2018-02-12
PC,ncsa,17,12042,2018-02-12
PS4,apac,9,3735,2018-02-12
PS4,emea,9,17648,2018-02-12
XBOX,ncsa,14,37323,2018-02-12
PC,ncsa,14,16951,2018-02-12
PC,ncsa,0,482999,2018-02-12
XBOX,apac,3,288,2018-02-12
PC,apac,3,560,2018-02-12
XBOX,ncsa,0,284645,2018-02-12
PC,emea,3,1770,2018-02-12
XBOX,emea,3,1236,2018-02-12
PC,ncsa,3,1372,2018-02-12
XBOX,apac,0,564592,2018-02-12
PC,apac,0,546996,2018-02-12
XBOX,ncsa,3,3209,2018-02-12
PC,emea,0,420840,2018-02-12
XBOX,emea,0,468778,2018-02-12
XBOX,emea,14,14774,2018-02-12
PC,apac,17,7115,2018-02-12
PS4,ncsa,9,13269,2018-02-12
XBOX,apac,17,1932,2018-02-12
PC,emea,14,25992,2018-02-12
PC,apac,14,8135,2018-02-12
XBOX,emea,17,13175,2018-02-12
PC,emea,17,19587,2018-02-12
XBOX,apac,14,2303,2018-02-12
PS4,ncsa,10,15034,2018-02-12
PS4,apac,7,2634,2018-02-12
PS4,ncsa,12,17341,2018-02-12
PS4,emea,7,12575,2018-02-12
PC,apac,19,722,2018-02-12
XBOX,apac,19,204,2018-02-12
PS4,emea,6,10324,2018-02-12
PS4,apac,2,845,2018-02-12
PS4,emea,2,3827,2018-02-12
PS4,ncsa,18,12019,2018-02-12
XBOX,emea,19,1516,2018-02-12
PS4,apac,6,2219,2018-02-12
XBOX,ncsa,11,15734,2018-02-12
PC,ncsa,11,6617,2018-02-12
PC,emea,19,2026,2018-02-12
PC,ncsa,2,1090,2018-02-12
PC,emea,18,5985,2018-02-12
XBOX,emea,18,4524,2018-02-12
XBOX,ncsa,2,2397,2018-02-12
PS4,ncsa,19,4322,2018-02-12
PS4,emea,11,21095,2018-02-12
XBOX,ncsa,6,6946,2018-02-12
PS4,apac,11,4489,2018-02-12
XBOX,apac,18,522,2018-02-12
PC,apac,18,1794,2018-02-12
PC,ncsa,6,2734,2018-02-12
PC,ncsa,7,3377,2018-02-12
XBOX,apac,10,1050,2018-02-12
PC,apac,12,3078,2018-02-12
XBOX,apac,12,1226,2018-02-12
PC,apac,10,2703,2018-02-12
XBOX,ncsa,7,8501,2018-02-12
XBOX,emea,12,6850,2018-02-12
PC,emea,10,9025,2018-02-12
XBOX,emea,10,5589,2018-02-12
PC,emea,12,10937,2018-02-12
XBOX,apac,9,893,2018-02-12
PC,apac,9,2292,2018-02-12
PS4,ncsa,17,33535,2018-02-12
PC,emea,9,7334,2018-02-12
PS4,ncsa,14,36289,2018-02-12
XBOX,emea,9,4961,2018-02-12
PS4,ncsa,0,687133,2018-02-12
PS4,apac,3,1167,2018-02-12
PS4,emea,3,4982,2018-02-12
PS4,ncsa,3,3811,2018-02-12
PS4,apac,0,902906,2018-02-12
PS4,emea,0,586748,2018-02-12
PC,ncsa,9,5174,2018-02-12
PS4,apac,17,10264,2018-02-12
XBOX,ncsa,9,12651,2018-02-12
PS4,emea,14,47977,2018-02-12
PS4,apac,14,10199,2018-02-12
PS4,emea,17,43830,2018-02-12
XBOX,ncsa,12,17066,2018-02-12
PC,ncsa,10,6232,2018-02-12
XBOX,apac,7,678,2018-02-12
PC,apac,7,1355,2018-02-12
XBOX,ncsa,10,14557,2018-02-12
PC,ncsa,12,7416,2018-02-12
PC,emea,7,4596,2018-02-12
XBOX,emea,7,3195,2018-02-12
XBOX,apac,2,193,2018-02-12
XBOX,emea,6,2539,2018-02-12
PS4,apac,19,1146,2018-02-12
PC,emea,6,3710,2018-02-12
PC,apac,2,424,2018-02-12
PC,ncsa,18,3742,2018-02-12
PC,emea,2,1415,2018-02-12
PC,apac,6,1165,2018-02-12
XBOX,apac,6,555,2018-02-12
PS4,emea,19,6046,2018-02-12
PS4,ncsa,11,16016,2018-02-12
XBOX,emea,2,895,2018-02-12
XBOX,ncsa,18,12107,2018-02-12
XBOX,apac,16,1245,2018-02-12
PC,apac,16,4359,2018-02-12
PC,emea,16,15665,2018-02-12
XBOX,emea,16,9295,2018-02-12
PC,apac,8,1722,2018-02-12
XBOX,apac,8,785,2018-02-12
PS4,ncsa,5,6376,2018-02-12
PS4,apac,1,2653,2018-02-12
PC,ncsa,20,1331,2018-02-12
PS4,emea,1,14787,2018-02-12
